datetime	OAT	RH	GHI	SolDirNorm	SolDifHori
0	279.96	65.6	0.6	0	0.6
300	279.91	65.4	0.6	0	0.6
600	279.79	65.6	0.6	0	0.6
900	279.63	66	0.6	0	0.6
1200	279.74	66.2	0.6	0	0.6
1500	279.66	65.6	0.6	0	0.6
1800	279.61	65.5	0.6	0	0.6
2100	279.66	65.2	0.6	0	0.6
2400	279.69	65.2	0.6	0	0.6
2700	279.69	65.5	0.6	0	0.6
3000	279.56	65.8	0.6	0	0.6
3300	279.43	66.2	0.6	0	0.6
3600	279.33	66.7	0.6	0	0.6
3900	279.38	67.2	0.6	0	0.6
4200	279.41	67.5	0.6	0	0.6
4500	279.43	67.6	0.6	0	0.6
4800	279.43	67.9	0.6	0	0.6
5100	279.53	68.1	0.6	0	0.6
5400	279.53	68	0.6	0	0.6
5700	279.53	67.9	0.6	0	0.6
6000	279.43	67.9	0.6	0	0.6
6300	279.48	67.9	0.6	0	0.6
6600	279.43	67.6	0.6	0	0.6
6900	279.38	67.6	0.6	0	0.6
7200	279.38	67.8	0.6	0	0.6
7500	279.53	68	0.6	0	0.6
7800	279.48	67.9	0.6	0	0.6
8100	279.43	67.7	0.6	0	0.6
8400	279.41	67.5	0.6	0	0.6
8700	279.43	67.6	0.6	0	0.6
9000	279.43	67.6	0.6	0	0.6
9300	279.41	67.8	0.6	0	0.6
9600	279.38	67.9	0.6	0	0.6
9900	279.35	67.9	0.6	0	0.6
11200	279.35	67.9	0.6	0	0.6
11500	279.28	67.9	0.6	0	0.6
11800	279.25	68.1	0.6	0	0.6
12100	279.28	68.4	0.6	0	0.6
12400	279.3	68.6	0.6	0	0.6
12700	279.3	68.7	0.6	0	0.6
13000	279.3	68.5	0.6	0	0.6
13300	279.28	68.5	0.6	0	0.6
13600	279.28	68.6	0.6	0	0.6
13900	279.25	68.5	0.6	0	0.6
14200	279.23	68.6	0.6	0	0.6
14500	279.23	68.7	0.6	0	0.6
14800	279.2	68.7	0.6	0	0.6
15100	279.25	68.9	0.6	0	0.6
15400	279.25	68.8	0.6	0	0.6
15700	279.23	68.7	0.6	0	0.6
16000	279.28	68.9	0.6	0	0.6
16300	279.28	68.9	0.6	0	0.6
16600	279.3	68.9	0.6	0	0.6
16900	279.3	68.9	0.6	0	0.6
17200	279.25	68.9	0.6	0	0.6
17500	279.3	69	0.6	0	0.6
17800	279.25	68.9	0.6	0	0.6
18100	279.28	68.9	0.6	0	0.6
18400	279.28	68.9	0.6	0	0.6
18700	279.33	68.8	0.6	0	0.6
19000	279.3	68.8	0.6	0	0.6
19300	279.28	68.6	0.6	0	0.6
19600	279.33	68.8	0.6	0	0.6
19900	279.35	68.8	0.6	0	0.6
20200	279.35	68.8	0.6	0	0.6
20500	279.38	68.9	0.6	0	0.6
20800	279.38	68.8	0.6	0	0.6
21100	279.35	68.8	0.6	0	0.6
21400      279.35     68.9 0.6   0      0.6
21700	279.33	68.6	0.6	0	0.6
22000	279.33	68.6	0.6	0	0.6
22300	279.33	68.9	0.6	0	0.6
22600	279.3	69.1	0.6	0	0.6
22900	279.25	69	0.6	0	0.6
23200	279.35	69.3	0.6	0	0.6
23500	279.3	69.1	0.6	0	0.6
23800	279.3	69	0.6	0	0.6
24100	279.28	68.9	0.6	0	0.6
24400	279.28	68.8	0.6	0	0.6
24700	279.28	68.9	0.6	0	0.6
25000	279.25	69	0.6	0	0.6
25300	279.28	69.2	1.9	0	1.9
25600	279.2	69.2	5.6	0	5.6
25900	279.15	69.3	8.1	0	8.1
26200	279.1	69.3	11.9	0	11.9
26500	279.15	69.5	15.6	0	15.6
26800	279.2	69.5	20.6	7.526552361	20.17520866
27100	279.13	69.4	23.1	6.530283101	22.62387796
27400	279.18	69.5	28.1	6.426681585	27.52639625
27700	279.25	69.4	36.9	9.009678876	35.94981995
28000	279.28	69.4	40.6	7.632741207	39.67240737
28300	279.43	69.5	45.6	7.462508076	44.57432486
28600	279.51	69.2	53.1	8.691866522	51.76839299
28900	279.61	69.1	58.1	8.470956097	56.67015463
29200	279.56	68.6	63.1	8.322264394	61.56692733
29500	279.66	68.3	70.6	9.42866265	68.71942672
29800	279.71	68	78.1	10.59115807	75.82814548
30100	279.84	67.7	84.4	11.08547144	81.8574109
30400	279.96	67.4	84.4	8.623930247	82.29560462
30700	280.06	67	93.1	10.12316194	90.48351299
31000	280.24	66.4	99.4	10.64236507	96.49785698
31300	280.62	66	105.6	11.13058993	102.4087847
31600	281.15	64.9	135.6	29.79203676	126.6478678
31900	281.52	63.6	164.4	62.50650001	144.770919
32200	281.72	62.2	169.4	59.08346098	150.0598585
32500	281.84	61.5	156.9	33.16459833	145.6110672
32800	282.44	61.1	126.9	10.01782851	123.3617858
33100	282.66	60.2	131.9	10.17516574	128.1786175
33400	283.15	59.2	138.1	10.74655105	134.0377442
33700	282.51	58.3	139.4	9.805959827	135.5756083
34000	282.88	58.9	146.9	10.78821133	142.56605
34300	282.88	58.6	153.1	11.42853623	148.3780732
34600	282.66	58.7	204.4	41.40629809	186.830459
34900	282.83	58.8	283.1	170.0936218	209.0792063
35200	283.54	58.5	268.1	120.2232217	214.5124794
35500	282.46	58	301.9	183.412567	218.2664859
35800	282.91	58.7	301.9	167.1918422	224.0005522
36100	283.08	59	318.1	191.5647437	227.0000157
